Mad Max: Fury Road,Action
1917,Action
Furiosa: A Mad Max Saga,Action
Sherlock Holmes: A Game of Shadows,Action
Inglourious Basterds,Action
Django Unchained,Action
Jumanji,Action/Comedy
The Princess Bride,Action/Romance
Howl's Moving Castle,Anime
Princess Mononoke,Anime
My Neighbor Totoro,Anime
Bridesmaids,Comedy
Pitch Perfect,Comedy
Birdcage,Comedy
Tropic Thunder,Comedy
Meet the Fockers,Comedy
Racing Stripes,Comedy/Drama
My Big Fat Greek Wedding,Comedy/Romance
Step Up 2,Drama
Remember the Titans,Drama
Soul Surfer,Drama
Secretariat,Drama
Once Upon a Time in Hollywood,Drama
A Walk to Remember,Drama/Romantic
Krull,Fantasy/Action
Conan The Barbarian,Fantasy/Action
The Birds,Horror
Butterfly Kisses,Horror
The Host,Romantic/Sci Fi/Thriller
Aliens,Sci Fi/Horror
The Thing,Sci Fi/Horror
Step Up 2,
Step Up,
Hackers,
Frankenstein's Army,
